Sno,Candidate,Constituency,Party,Result,Criminal Cases,Cases details(convicted),Cases details(accused),Serious IPC Detail,Other IPC Detail,Education,Movable Assets,Immovable Assets,Total Assets,Liabilities,PAN Given (Y or N)  
1536,PATIL NEELAKANTHAGOUDRA  VEERANAGOUDRA,Shiggaon,JD(U),L,0,No Cases ,No Cases,,,5th,372000,1225000,1597000,400000,N 
1537,ASHOK KUMAR .S. BHANDARI,Shiggaon,IND,L,0,No Cases ,No Cases,,,12th,462000,500000,962000,0,Y 
1538,SIDDARAMAPPA.H.ITAGI,Shiggaon,LJP,L,0,No Cases ,No Cases,,,12th,35676,120000,155676,0,N 
1539,PREMA.S.PATIL,Shiggaon,JD(S),L,0,No Cases ,No Cases,,,graduate_professional,495300,1100000,1595300,260000,N 
1540,BALANNANAVAR BASAVARAJ RAMANNA,Shiggaon,IND,L,0,No Cases ,No Cases,,,literate,36250,350000,386250,18000,N 
1541,PATHAN AFZALAHAMEDKHAN,Shiggaon,SP,L,0,No Cases ,No Cases,,,10th,677605,1095000,1772605,0,Y 
1542,B.S.YEDDYURAPPA,Shikaripura ,BJP,W,0,No Cases ,No Cases,,,10th,1051220,12870810,13922030,359326,Y 
1543,J.JAYAPPA,Shikaripura ,BSP,L,0,No Cases ,No Cases,,,12th,37000,65000,102000,0,N 
1544,D.S.ESHWARAPPA MAYAPPAR,Shikaripura ,IND,L,0,No Cases ,No Cases,,,12th,165600,3900000,4065600,128893,N 
1545,S.BANGARAPPA,Shikaripura ,SP,L,0,No Cases ,No Cases,,,graduate,1541617,170000,1711617,0,Y 
1546,BANGARAPPA.D.,Shikaripura ,IND,L,0,No Cases ,No Cases,,,10th,23000,200000,223000,0,N 
1547,BASAVARAJ PATIL,Shikaripura ,IND,L,0,No Cases ,No Cases,,,graduate,536000,2700000,3236000,350000,N 
1548,DR. RIYAZ BASHA,Shikaripura ,IND,L,0,No Cases ,No Cases,,,graduate_professional,329910,2740000,3069910,1883876,Y 
1549,B.SHIVANAGOWDA,Shikaripura ,SUP,L,0,No Cases ,No Cases,,,10th,121299,200000,321299,200000,N 
1550,PRASANNA.T.V.,Shikaripura ,IND,L,0,No Cases ,No Cases,,,others,35000,0,35000,15000,Y 
1551,K.S.ESHWARAPPA,Shimoga,BJP,W,1,No Cases ,"(1):IPC Sections -  143, 147, 148, 332, 427, 353 , Other Details - Case No.-715/2000 
",,"1 charges related to Voluntarily causing hurt to deter public servant from his duty (IPC Section-332) 
1 charges related to Mischief causing damage to the amount of fifty rupees (IPC Section-427) 
1 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353) 
1 charges related to Punishment (IPC Section-143) 
1 charges related to  rioting (IPC Section-147) 
1 charges related to Rioting, armed with deadly weapon (IPC Section-148) 
",graduate,5330218,34850000,40180218,12422887,Y 
1552,Y.H.NAGARAJ,Shimoga,SP,L,0,No Cases ,No Cases,,,post_graduate,3061800,14124500,17186300,3942000,Y 
1553,T.G.CHANDRASHEKHARAPPA,Shimoga,SUP,L,0,No Cases ,No Cases,,,post_graduate,62300,0,62300,0,N 
1554,S.Y.BHUVANESHWARI,Shimoga,IND,L,0,No Cases ,No Cases,,,not_given,8600,0,8600,0,N 
1555,S.ELUMALAI,Shimoga,IND,L,0,No Cases ,No Cases,,,not_given,18500,0,18500,0,Y 
1556,ISMAIL KHAN,Shimoga,INC,L,0,No Cases ,No Cases,,,graduate_professional,2840282,15000000,17840282,180000,Y 
1557,D.HONNAPPA YANE NIBEHANNU MANJUNATH,Shimoga,IND,L,0,No Cases ,No Cases,,,10th,726000,500000,1226000,0,N 
1558,N.MANJULADEVI,Shimoga,JD(U),L,0,No Cases ,No Cases,,,graduate_professional,295000,1250000,1545000,0,Y 
1559,A.DAYANANDA,Shimoga,IND,L,0,No Cases ,No Cases,,,not_given,165000,0,165000,50000,N 
1560,M.SREEKANTH,Shimoga,JD(S),L,0,No Cases ,No Cases,,,8th,1550000,5000000,6550000,635000,Y 
1561,M.ESURU LOKESH,Shimoga,BSP,L,2,No Cases ,"(1):IPC Sections -  U/s 143,147,146,341 , Other Details - J.M.F.C
2nd court
Shimoga,
C.C.6091/07 
(2):IPC Sections -  U/s 143,147,146,341,504 , Other Details - J.M.F.C
2nd court
Shimoga,
C.C.2471/07 
",,"2 charges related to  wrongful restraint (IPC Section-341) 
2 charges related to Punishment (IPC Section-143) 
2 charges related to  rioting (IPC Section-147) 
2 charges related to Rioting (IPC Section-146) 
1 charges related to Intentional insult with intent to 	provoke breach of the peace (IPC Section-504) 
",post_graduate,117000,200000,317000,0,N 
1562,SHREEKANTHA G.BHAT,Shimoga,RAHS,L,2,No Cases ,"(1):IPC Sections -  504,506,342 , Other Details - 2nd J.M.F.C,
Shimoga
C.C.no.8014/04
Dhodpete police station,Shivmog
Date:16/11/2004 
(2):IPC Sections -  448,504,506,509 , Other Details - 2nd J.M.F.C,
Shimoga
C.C.no.8492/06
Kote police station,Shivmog
Date:21/11/2006 
",,"2 charges related to Intentional insult with intent to 	provoke breach of the peace (IPC Section-504) 
2 charges related to  criminal intimidation (IPC Section-506) 
1 charges related to  house-trespass (IPC Section-448) 
1 charges related to Word, gesture or act intended to insult the modesty of a woman (IPC Section-509) 
1 charges related to  wrongful Confinement (IPC Section-342) 
",graduate,62457,0,62457,0,N 
1563,G.N.DEVARAJ,Shimoga,IND,L,0,No Cases ,No Cases,,,not_given,247000,300000,547000,40000,N 
1564,KARIYANNA,Shimoga Rural,INC,L,0,No Cases ,No Cases,,,12th,930234,4900000,5830234,600000,N 
1565,M.GURUMURTHY,Shimoga Rural,BSP,L,3,No Cases ,"(1):IPC Sections -  I.P.C. 143,144,147,148,323,504,506(2),149 , Other Details - P.C.G.M. Court, Shimoga C.C. no. 231/1 Date:30.1.2001 
(2):IPC Sections -  143,253,338,186 , Other Details - J.m.F.C. Secondary Court,  Shimoga Date:15.9.2001 C.C.NO:657701 
(3):IPC Sections -   , Other Details - Case no:64/2000
Jayanagara police station,Shivamogga district, Karnataka state.
P.C.J.M.,Shivamogga C.C.NO:230/01
30-1-2001 and J.M.F.C 2 Court C.C.No:65/77/01 
Date:15-9-2001 
","1 charges related to Possession of Indian coin by person who knew it to be altered when he became possessed thereof (IPC Section-253) 
","2 charges related to Punishment (IPC Section-143) 
1 charges related to Rioting, armed with deadly weapon (IPC Section-148) 
1 charges related to  voluntarily causing hurt (IPC Section-323) 
1 charges related to Intentional insult with intent to 	provoke breach of the peace (IPC Section-504) 
1 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 
1 charges related to Causing grievous hurt by act endangering life or personal safety of others (IPC Section-338) 
1 charges related to Obstructing public servant in discharge of public functions (IPC Section-186) 
1 charges related to Joining unlawful assembly armed with deadly weapon (IPC Section-144) 
1 charges related to  rioting (IPC Section-147) 
",graduate,17800,500000,517800,0,Y 
1566,B.P.CHANDANAIK,Shimoga Rural,IND,L,0,No Cases ,No Cases,,,literate,701000,2100000,2801000,425798,N 
1567,SHARADA PURYANAIK,Shimoga Rural,JD(S),L,0,No Cases ,No Cases,,,12th,2045000,7185000,9230000,3505811,Y 
1568,SHANTHAVEERA NAIK,Shimoga Rural,SP,L,0,No Cases ,No Cases,,,graduate,815000,600000,1415000,700000,N 
1569,V.A.HALESH BABU,Shimoga Rural,JD(U),L,0,No Cases ,No Cases,,,graduate,629785,1652409,2282194,0,N 
1570,K.G.KUMARSWAMY,Shimoga Rural,BJP,W,0,No Cases ,No Cases,,,graduate_professional,2063103,11550000,13613103,81000,Y 
1571,HALAPPA.A.K,Shimoga Rural,IND,L,0,No Cases ,No Cases,,,graduate,55000,500000,555000,23000,N 
1572,H.KUBERAPPA,Shimoga Rural,SUP,L,0,No Cases ,No Cases,,,graduate,1124000,4550000,5674000,40000,N 
1573,H R NAYAK,Shirahatti,INC,L,0,No Cases ,No Cases,,,post_graduate,52000,5000000,5052000,0,N 
1574,AMBIKA IRAPPA NAYAK,Shirahatti,BSP,L,0,No Cases ,No Cases,,,literate,81000,420000,501000,0,N 
1575,JAYASHREE MAHANTESH HALLEPPANAVAR,Shirahatti,IND,L,0,No Cases ,No Cases,,,12th,1312000,600000,1912000,0,N 
1576,KHARATE PURNAJEPPA BHARAMAJEPPA,Shirahatti,SP,L,0,No Cases ,No Cases,,,graduate,402940,1889200,2292140,565000,N 
1577,RAMANNA S LAMANI,Shirahatti,BJP,W,0,No Cases ,No Cases,,,literate,200000,900000,1100000,0,N 
1578,ALKOD HANUMANTAPPA YALLAPPA,Shirahatti,JD(S),L,0,No Cases ,No Cases,,,graduate,3726500,19753000,23479500,0,Y 
1579,KORADAL SHIVAPPA FAKKEERAPPA,Shirahatti,IND,L,0,No Cases ,No Cases,,,12th,160000,385000,545000,20000,N 
1580,NIRMAL SURANA,Shivajinagar,BJP,L,2,No Cases ,"(1):IPC Sections -  364A, 342, 384, 506B, 34 , Other Details - Major 10th A.C.M.M Court,Bangalore,Cr.No.425/05
22-11-05 
(2):IPC Sections -  143, 145, 147, 149, 341, 342, 353 , Other Details - Major 10th A.C.M.M Court,Bangalore
C.C.22336/04
29-09-03 
","1 charges related to Kidnapping for ransom, etc. (IPC Section-364A) 
1 charges related to  extortion (IPC Section-384) 
","2 charges related to  wrongful Confinement (IPC Section-342) 
1 charges related to Joining or continuing in unlawful assembly, knowing it has been commanded to disperse (IPC Section-145) 
1 charges related to  rioting (IPC Section-147) 
1 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 
1 charges related to  wrongful restraint (IPC Section-341) 
1 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353) 
1 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34) 
1 charges related to Punishment (IPC Section-143) 
",others,4689372,17026000,21715372,107965,Y 
1581,M.P YUVARAJ,Shivajinagar,ADMK,L,0,No Cases ,No Cases,,,12th,155000,1000000,1155000,0,Y 
1582,M. ASHFAQ AHMMED,Shivajinagar,JD(S),L,1,No Cases ,"(1):IPC Sections -  145,147,148,446,307,149 , Other Details - XI ACMM MAYO HALL,
Case no.0265, Ashok Nagar Police station. 
","1 charges related to Attempt to murder (IPC Section-307) 
","1 charges related to House-breaking by night (IPC Section-446) 
1 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 
1 charges related to Joining or continuing in unlawful assembly, knowing it has been commanded to disperse (IPC Section-145) 
1 charges related to  rioting (IPC Section-147) 
1 charges related to Rioting, armed with deadly weapon (IPC Section-148) 
",not_given,476280,0,476280,41090,Y 
1583,ABDUL HAMEED,Shivajinagar,ANC,L,0,No Cases ,No Cases,,,not_given,0,0,0,0,N 
1584,R.ROSHAN BAIG,Shivajinagar,INC,W,0,No Cases ,No Cases,,,graduate,5727673,75971000,81698673,0,Y 
1585,CHARLES PRABAKAR,Shivajinagar,BSP,L,0,No Cases ,No Cases,,,graduate,3114500,95515000,98629500,3167000,Y 
1586,SATHISH B.P,Shivajinagar,SP,L,0,No Cases ,No Cases,,,not_given,90000,0,90000,200000,N 
1587,NARASIMHA NAYAK (RAJU GOUDA),Shorapur,BJP,W,0,No Cases ,No Cases,,,12th,4228600,5420780,9649380,20500,Y 
1588,SOMANNA BIRADAR,Shorapur,IND,L,0,No Cases ,No Cases,,,not_given,75000,250000,325000,0,N 
1589,RAMAN GOUDA BOMNALLI,Shorapur,IND,L,1,No Cases ,"(1):IPC Sections -  143, 147, 148, 323, 504, 506, 307, 395, 149 , Other Details - Court:J.M.F.C. Court Shorapur,
Crime No.42/2008,Charge Sheet not filed,P.S.Shorapur Gulbarga,District Karnataka
 
","1 charges related to Attempt to murder (IPC Section-307) 
1 charges related to  dacoity (IPC Section-395) 
","1 charges related to Intentional insult with intent to 	provoke breach of the peace (IPC Section-504) 
1 charges related to  criminal intimidation (IPC Section-506) 
1 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 
1 charges related to  rioting (IPC Section-147) 
1 charges related to Rioting, armed with deadly weapon (IPC Section-148) 
1 charges related to  voluntarily causing hurt (IPC Section-323) 
",not_given,262000,0,262000,0,N 
1590,SHANTAPPA,Shorapur,IND,L,0,No Cases ,No Cases,,,8th,1170000,200000,1370000,0,N 
1591,RAJA VENKATAPPA NAIK,Shorapur,INC,L,1,No Cases ,"(1):IPC Sections -  147, 148, 324, 427, 504, 506, 149 , Other Details - Court:J.M.F.C. Court Shahapur,
C.C.NO.101/2008,
Date:01-04-2008 
","1 charges related to Voluntarily causing hurt by dangerous weapons or means (IPC Section-324) 
","1 charges related to Intentional insult with intent to 	provoke breach of the peace (IPC Section-504) 
1 charges related to  criminal intimidation (IPC Section-506) 
1 charges related to  rioting (IPC Section-147) 
1 charges related to Rioting, armed with deadly weapon (IPC Section-148) 
1 charges related to Mischief causing damage to the amount of fifty rupees (IPC Section-427) 
",12th,7986406,50360704,58347110,3041813,Y 
1592,LAXMAN RAO NAYAK,Shorapur,BSP,L,0,No Cases ,No Cases,,,graduate,1455000,4255000,5710000,73106,Y 
1593,SUDARSHAN RAMANNA,Shorapur,IND,L,0,No Cases ,No Cases,,,12th,1170000,550000,1720000,0,N 
1594,GOPAL CHELIGAPPA,Shorapur,IND,L,0,No Cases ,No Cases,,,12th,1170000,0,1170000,0,N 
1595,GIRIJAMMA,Shorapur,JD(S),L,0,No Cases ,No Cases,,,10th,560000,200000,760000,0,N 
1596,RAJA RAMAPPA NAYAK (J.J),Shorapur,IND,L,0,No Cases ,No Cases,,,graduate,1394000,3500000,4894000,1500000,N 
1597,ANILKUMAR RAMANNA,Shorapur,IND,L,0,No Cases ,No Cases,,,12th,1235000,500000,1735000,0,N 
1598,C. S. NAVEEN,Shravanabelagola,SP,L,0,No Cases ,No Cases,,,graduate,145000,1200000,1345000,0,N 
1599,C. S. PUTTE GOWDA,Shravanabelagola,JD(S),W,0,No Cases ,No Cases,,,post_graduate,1724869,39900000,41624869,7147477,Y 
1600,KURUBARA KALENAHALLI KOVI BABANNA,Shravanabelagola,IND,L,0,No Cases ,No Cases,,,not_given,0,0,0,40000,N 
1601,C. R. ABDUL HADI,Shravanabelagola,BSP,L,2,No Cases ,"(1):IPC Sections -  143,353,323,355,506,149 , Other Details - CC.1003:2006
Channarayapatna town,Dist: Hassan,State:Karnataka 
(2):IPC Sections -  143,144,147,148,323,326 , Other Details - CC.866:2006
Channarayapatna town,Dist: Hassan,State:Karnataka 
","1 charges related to Voluntarily causing grievous hurt by dangerous weapons or means (IPC Section-326) 
","2 charges related to Punishment (IPC Section-143) 
2 charges related to  voluntarily causing hurt (IPC Section-323) 
1 charges related to Assault or criminal force with intent to dishonour person, otherwise than on grave provocation (IPC Section-355) 
1 charges related to  criminal intimidation (IPC Section-506) 
1 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 
1 charges related to Joining unlawful assembly armed with deadly weapon (IPC Section-144) 
1 charges related to  rioting (IPC Section-147) 
1 charges related to Rioting, armed with deadly weapon (IPC Section-148) 
1 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353) 
",10th,50000,500000,550000,200000,N 
1602,H. C. SRIKANTAIAH ALIAS ANNAIAH,Shravanabelagola,INC,L,0,No Cases ,No Cases,,,10th,193643205,153676050,347319255,15004649,Y 
1603,ANAND SHIVAPPA,Shravanabelagola,BJP,L,0,No Cases ,No Cases,,,graduate_professional,2917000,10600000,13517000,0,N 
1604,K.S.NANJUNDEGOWDA,Shrirangapattana,SKP,L,0,No Cases ,No Cases,,,graduate,300000,2000000,2300000,33250,N 
1605,KRISHNAMURTHY,Shrirangapattana,IND,L,0,No Cases ,No Cases,,,5th,70000,100000,170000,28000,N 
1606,POOJA M SANTHOSH,Shrirangapattana,BJP,L,0,No Cases ,No Cases,,,12th,885427,0,885427,0,N 
1607,CHANDRASHEKARAPPA.K,Shrirangapattana,SP,L,0,No Cases ,No Cases,,,post_graduate,303500,4050000,4353500,110000,Y 
1608,B.LINGAIAH,Shrirangapattana,BSP,L,0,No Cases ,No Cases,,,12th,13500,0,13500,750000,N 
1609,M RAJANNA,Sidlaghatta,JD(S),L,0,No Cases ,No Cases,,,not_given,1850000,2950000,4800000,500000,Y 
1610,R SUBBAREDDY,Sidlaghatta,IND,L,0,No Cases ,No Cases,,,12th,20000,800000,820000,80000,N 
1611,A PANCHAKSHARI REDDY,Sidlaghatta,IND,L,0,No Cases ,No Cases,,,10th,735000,0,735000,425000,Y 
1612,SWETHAJA LOKESH,Sidlaghatta,BJP,L,0,No Cases ,No Cases,,,not_given,736000,5000000,5736000,0,Y 
1613,RAJANNA A N,Sidlaghatta,IND,L,0,No Cases ,No Cases,,,not_given,60000,0,60000,0,N 
1614,NAGARAJA T K,Sidlaghatta,SP,L,0,No Cases ,No Cases,,,others,70000,0,70000,10000,N 
1615,V MUNIYAPPA,Sidlaghatta,INC,W,0,No Cases ,No Cases,,,not_given,3706000,25140000,28846000,0,N 
1616,G RAJENDRA,Sidlaghatta,BSP,L,0,No Cases ,No Cases,,,graduate_professional,370000,3700000,4070000,80000,Y 
1617,D MUNIRAJA ARIKERI,Sidlaghatta,IND,L,0,No Cases ,No Cases,,,not_given,0,0,0,0,N 
1618,MANAGULI MALLAPPA CHANNAVEERAPPA,Sindgi,JD(S),L,0,No Cases ,No Cases,,,10th,1535297,37722340,39257637,1179240,Y 
1619,HIREMATH N.S,Sindgi,SP,L,0,No Cases ,No Cases,,,graduate_professional,1006865,16506838,17513703,1144734,Y 
1620,S.M.PATIL (GANIHAR),Sindgi,BSP,L,0,No Cases ,No Cases,,,10th,860655,5253000,6113655,94440,Y 
1621,SUNAGAR SHARANAPPA TIPPANNA,Sindgi,INC,L,0,No Cases ,No Cases,,,12th,4474872,26441000,30915872,4774642,Y 
1622,BHUSANUR RAMESH BALAPPA,Sindgi,BJP,W,1,No Cases ,"(1):IPC Sections -  143, 147, 447, 336, 332, 353, 109, 324, 427, 506(2), 149 , Other Details - Case No.-137/2006 
","1 charges related to Voluntarily causing hurt by dangerous weapons or means (IPC Section-324) 
","1 charges related to Act endangering life or personal safety of others (IPC Section-336) 
1 charges related to Voluntarily causing hurt to deter public servant from his duty (IPC Section-332) 
1 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353) 
1 charges related to Punishment of abetment if the act abetted is committed in consequence, and where no express provision is made for its punishment (IPC Section-109) 
1 charges related to Mischief causing damage to the amount of fifty rupees (IPC Section-427) 
1 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 
1 charges related to Punishment (IPC Section-143) 
1 charges related to  rioting (IPC Section-147) 
1 charges related to  criminal trespass (IPC Section-447) 
",graduate,1126104,2668000,3794104,451659,N 
1623,COMRED BASAVARAJ HOSALLI ( E J),Sindhanur,IND,L,0,No Cases ,No Cases,,,graduate,17000,50000,67000,0,N 
1624,NADAGOUDA VENKATARAO,Sindhanur,JD(S),W,1,No Cases ,"(1):IPC Sections -  171(B),136 I(e),II(B) , Other Details - C.C.No.257/2006 
","1 charges related to Bribery (IPC Section-171B) 
","1 charges related to Harbouring deserter (IPC Section-136) 
",graduate,3448000,14650000,18098000,0,N 
1625,SABIR PASHA,Sindhanur,IND,L,0,No Cases ,No Cases,,,12th,98000,0,98000,75000,N 
1626,JAYYANANDAYYA SWAMY ADVOCATE,Sindhanur,RAHS,L,0,No Cases ,No Cases,,,graduate_professional,70500,100000,170500,52400,N 
1627,ERAMMA.R.,Sindhanur,LJP,L,0,No Cases ,No Cases,,,graduate,249000,250000,499000,0,N 
1628,MOHAMMED SHAFI,Sindhanur,IND,L,0,No Cases ,No Cases,,,10th,148500,900000,1048500,200000,N 
1629,BADARLI HAMPANAGOUDA,Sindhanur,INC,L,1,No Cases ,"(1):IPC Sections -   , Other Details - 138 N.I.Act,CC No.20713/99,Police Station Upparapete,Banglore,District Banglore,State Karnataka,City Civil Court,Bangalore 
(2):IPC Sections -   , Other Details - CC No.20717/99 
(3):IPC Sections -   , Other Details - CC No.20718/99 
(4):IPC Sections -   , Other Details - CC No.20719/99 
(5):IPC Sections -   , Other Details - CC No.20720/99 
(6):IPC Sections -   , Other Details - CC No.20771/99 
",,"2 charges related to Act against which there is no right of private defence (IPC Section-99) 
",graduate,5453132,11098380,16551512,2159727,Y 
1630,YOGAPPA,Sindhanur,IND,L,0,No Cases ,No Cases,,,literate,25000,0,25000,0,N 
1631,RAMANA ERALAGADDI,Sindhanur,IND,L,0,No Cases ,No Cases,,,literate,16000,400000,416000,16000,N 
1632,VIRESH MADASIRWAR,Sindhanur,SP,L,1,No Cases ,"(1):IPC Sections -  323,324,504,506 , Other Details - Case No.CC No.87/2006, First civil judge court 
","1 charges related to Voluntarily causing hurt by dangerous weapons or means (IPC Section-324) 
","1 charges related to  voluntarily causing hurt (IPC Section-323) 
1 charges related to Intentional insult with intent to 	provoke breach of the peace (IPC Section-504) 
1 charges related to  criminal intimidation (IPC Section-506) 
",10th,170875,3500000,3670875,1340101,N 
1633,R.NARAYANAPPA,Sindhanur,BJP,L,0,No Cases ,No Cases,,,12th,0,600000,600000,100000,N 
1634,K.MARIYAPPA,Sindhanur,BSP,L,0,No Cases ,No Cases,,,12th,61000,400000,461000,85000,N 
1635,MAREMMA SUKHALPET,Sindhanur,IND,L,0,No Cases ,No Cases,,,illiterate,135000,700000,835000,0,N 
1636,D.C.NAGABHUSHANA [ RAJU  ],Sira,BSP,L,0,No Cases ,No Cases,,,10th,6820000,99650000,106470000,14000000,N 
1637,R. DASARANGAPPA,Sira,IND,L,0,No Cases ,No Cases,,,12th,2620000,0,2620000,0,N 
1638,B.K.MANJUNATHA,Sira,BJP,L,0,No Cases ,No Cases,,,12th,375000,600000,975000,400000,Y 
1639,LINGAPPA,Sira,IND,L,0,No Cases ,No Cases,,,12th,1000000,800000,1800000,0,N 
1640,M.L.A.R. KAMBANNA,Sira,IND,L,0,No Cases ,No Cases,,,literate,30000,0,30000,0,N 
1641,T.B.JAYACHANDRA,Sira,INC,W,0,No Cases ,No Cases,,,graduate_professional,3970543,58500000,62470543,21113191,Y 
1642,L. NAGARAJU [LNR],Sira,JD(U),L,0,No Cases ,No Cases,,,12th,600000,200000,800000,0,N 
1643,K.MUDALAGIRIYAPPA,Sira,IND,L,0,No Cases ,No Cases,,,not_given,700000,1000000,1700000,0,Y 
1644,B. SATHYANARAYANA,Sira,JD(S),L,0,No Cases ,No Cases,,,graduate_professional,1510880,8075114,9585994,540333,Y 
1645,NAIK RAVEENDRANATH NARAYAN,Sirsi,INC,L,3,No Cases ,"(1):IPC Sections -  324,224,353,427,341,143,147,149,332,114,504,506 , Other Details - Case No.196/2007
court-JMFC Court, Siddhapura.
Date 12-03-2007 
(2):IPC Sections -  143,147,,448,3123,427,504,506,149 , Other Details - Case No.197/2007
court-JMFC Court, Siddhapura.
15-03-2007 
(3):IPC Sections -  143,147,323,427,504,506,149 , Other Details - Case No.198/
court-JMFC Court, Siddhapura.
15-03-2007 
","1 charges related to Voluntarily causing hurt by dangerous weapons or means (IPC Section-324) 
","3 charges related to Punishment (IPC Section-143) 
3 charges related to  rioting (IPC Section-147) 
3 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 
3 charges related to Intentional insult with intent to 	provoke breach of the peace (IPC Section-504) 
3 charges related to  criminal intimidation (IPC Section-506) 
3 charges related to Mischief causing damage to the amount of fifty rupees (IPC Section-427) 
1 charges related to  wrongful restraint (IPC Section-341) 
1 charges related to Voluntarily causing hurt to deter public servant from his duty (IPC Section-332) 
1 charges related to Abettor present when offence is committed (IPC Section-114) 
1 charges related to  house-trespass (IPC Section-448) 
1 charges related to  voluntarily causing hurt (IPC Section-323) 
1 charges related to Resistance or obstruction by a person to his lawful apprehension (IPC Section-224) 
1 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353) 
",post_graduate,1710000,3500000,5210000,927239,Y 
1646,NARVEKAR NAGARAJ GURUNATH,Sirsi,JD(S),L,0,No Cases ,No Cases,,,graduate,420000,2077000,2497000,497723,Y 
1647,KANADE RAMADAS VENKAPPA,Sirsi,LJP,L,0,No Cases ,No Cases,,,graduate,503000,2575000,3078000,973905,Y 
1648,BHEEMANNA NAIK,Sirsi,SP,L,0,No Cases ,No Cases,,,8th,12457901,19951600,32409501,11569712,Y 
1649,ANAND H GOWDA,Sirsi,IND,L,0,No Cases ,No Cases,,,post_graduate,318000,13700000,14018000,689850,N 
1650,KAGERI  VISHWESHWAR HEGDE,Sirsi,BJP,W,0,No Cases ,No Cases,,,graduate,8589546,2316364,10905910,0,N 
1651,GOWDA SHANMUKH BASAVARAJ,Sirsi,IND,L,0,No Cases ,No Cases,,,10th,203000,2670000,2873000,171882,N 
1652,RAMANATHA HEGDE,Sirsi,BSP,L,0,No Cases ,No Cases,,,graduate,3656000,51000000,54656000,13056250,Y 
1653,NAGARAJ B.M.,Siruguppa,INC,L,0,No Cases ,No Cases,,,10th,870800,7400000,8270800,127000,Y 
1654,MALLIKARJUNA BALAPPA .H.M.,Siruguppa,JD(S),L,0,No Cases ,No Cases,,,not_given,100000,0,100000,380000,N 
1655,SOMALINGAPPA M.S,Siruguppa,BJP,W,0,No Cases ,No Cases,,,12th,172918,1455000,1627918,0,N 
1656,H. HALAPPA,Sorab,BJP,W,0,No Cases ,No Cases,,,graduate,4279349,10941856,15221205,9383294,Y 
1657,A.R. SHIVALINGA SWAMY,Sorab,IND,L,0,No Cases ,No Cases,,,12th,1391000,2500000,3891000,200000,Y 
1658,KOTRESH M.E.,Sorab,BSP,L,0,No Cases ,No Cases,,,12th,2150000,3500000,5650000,1050000,Y 
1659,S. KUMARA BANGARAPPA,Sorab,INC,L,0,No Cases ,No Cases,,,graduate,22228277,28972699,51200976,11328243,Y 
1660,V.G. PARASHURAMA,Sorab,IND,L,0,No Cases ,No Cases,,,graduate,335000,0,335000,0,N 
1661,K.S. SATYANARAYANA,Sorab,JD(U),L,0,No Cases ,No Cases,,,graduate,181000,150000,331000,50000,N 
1662,S. MADHU BANGARAPPA,Sorab,SP,L,0,No Cases ,No Cases,,,12th,16698915,137130000,153828915,50097994,Y 
1663,SURESH WODIYAR,Sorab,JD(S),L,0,No Cases ,No Cases,,,graduate,200100,700000,900100,90000,N 
1664,D.B.CHANDRE GOWDA,Sringeri,INC,L,0,No Cases ,No Cases,,,graduate_professional,3704318,17500000,21204318,0,Y 
1665,K.C.PRAKASH,Sringeri,IND,L,0,No Cases ,No Cases,,,10th,240000,150000,390000,0,N 
1666,RAJENDRA H.T,Sringeri,JD(S),L,1,No Cases ,"(1):IPC Sections -  174(a) , Other Details - CC.646/2002,Railway Act,
Dated:8-4-2002 
",,,graduate,1165000,500000,1665000,2300000,Y 
1667,SHREE PRASAD B.M,Sringeri,RAHS,L,0,No Cases ,No Cases,,,12th,30000,0,30000,0,N 
1668,D.N .JEEVARAJA,Sringeri,BJP,W,0,No Cases ,No Cases,,,10th,2479402,7310000,9789402,976468,Y 
1669,RAVISHANKAR  M.R,Sringeri,BSP,L,0,No Cases ,No Cases,,,graduate,906660,1100000,2006660,381000,Y 
1670,COMRADE NAGESH,Sringeri,IND,L,0,No Cases ,No Cases,,,10th,165000,100000,265000,0,N 
1671,S.BASAVALINGAIAH,Srinivaspur,IND,L,0,No Cases ,No Cases,,,not_given,0,0,0,0,N 
1672,D.R.SHANKARA REDDY,Srinivaspur,IND,L,0,No Cases ,No Cases,,,not_given,0,0,0,0,N 
